timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
3571210,00:59:31,238,background,0.4688,0.008;0.469;0.011;0.392;0.055;0.066,0
3586250,00:59:46,239,great_horned_owl,0.5225,0.010;0.306;0.006;0.522;0.105;0.051,0
3601292,01:00:01,240,background,0.4952,0.012;0.495;0.007;0.414;0.024;0.048,0
3616330,01:00:16,241,background,0.6488,0.005;0.649;0.003;0.317;0.004;0.022,0
3631372,01:00:31,242,great_horned_owl,0.4831,0.009;0.338;0.008;0.483;0.081;0.081,0
3646410,01:00:46,243,background,0.4295,0.006;0.430;0.007;0.430;0.042;0.086,0
3661450,01:01:01,244,background,0.4114,0.014;0.411;0.024;0.411;0.058;0.082,0
3676490,01:01:16,245,background,0.4565,0.011;0.457;0.013;0.457;0.026;0.037,0
3691532,01:01:31,246,background,0.7025,0.020;0.702;0.024;0.201;0.020;0.034,0
3706570,01:01:46,247,background,0.4447,0.012;0.445;0.010;0.445;0.025;0.062,0
3721610,01:02:01,248,background,0.4847,0.009;0.485;0.006;0.405;0.047;0.047,0
3736650,01:02:16,249,great_horned_owl,0.5130,0.007;0.429;0.006;0.513;0.021;0.025,0
3751690,01:02:31,250,background,0.6162,0.017;0.616;0.035;0.211;0.017;0.103,0
3766730,01:02:46,251,great_horned_owl,0.5019,0.008;0.351;0.006;0.502;0.084;0.049,0
3781770,01:03:01,252,background,0.7357,0.012;0.736;0.007;0.210;0.010;0.025,0
3796812,01:03:16,253,great_horned_owl,0.5202,0.009;0.304;0.007;0.520;0.073;0.087,0
3811850,01:03:31,254,great_horned_owl,0.5500,0.006;0.322;0.004;0.550;0.064;0.054,0
3826890,01:03:46,255,great_horned_owl,0.3436,0.014;0.287;0.014;0.344;0.201;0.141,0
3841930,01:04:01,256,american_crow,0.6162,0.616;0.060;0.030;0.086;0.060;0.147,1
3857269,01:04:17,257,background,0.4062,0.019;0.406;0.006;0.406;0.081;0.081,0
3872266,01:04:32,258,great_horned_owl,0.3633,0.021;0.178;0.010;0.363;0.304;0.124,0
3887308,01:04:47,259,great_horned_owl,0.3256,0.013;0.228;0.016;0.326;0.228;0.190,0
3902346,01:05:02,260,background,0.3069,0.025;0.307;0.021;0.307;0.126;0.215,0
3917386,01:05:17,261,background,0.5531,0.015;0.553;0.026;0.189;0.026;0.189,0
3932426,01:05:32,262,background,0.5352,0.018;0.535;0.018;0.183;0.063;0.183,0
3947466,01:05:47,263,background,0.8477,0.012;0.848;0.010;0.099;0.003;0.028,0
3962506,01:06:02,264,western_meadowlark,0.7945,0.133;0.045;0.008;0.013;0.006;0.795,1
3977844,01:06:17,265,red_tailed_hawk,0.4445,0.025;0.044;0.152;0.074;0.445;0.260,0
